cik,fiscal_year,enforced
0000772263,2024,0
0000772406,2017,0
0000773717,2016,0
0000773717,2018,0
0000773717,2019,0
0000773717,2021,0
0000773717,2022,0
0000773717,2023,0
0000773717,2024,0
0000773717,2025,0
0000774415,2022,0
0000774415,2023,0
0000774415,2024,0
0000774415,2025,0
0000785557,2016,0
0000788784,2016,0
0000789460,2016,0
0000789570,2016,0
0000790273,2020,0
0000790652,2010,1
0000790652,2011,1
0000790652,2012,1
0000790652,2019,1
0000790652,2021,1
0000790652,2022,1
0000790652,2023,1
0000790652,2024,1
0000791908,2016,0
0000791908,2017,0
0000791908,2018,0
0000791963,2016,0
0000793306,2021,0
0000793306,2022,0
0000793306,2023,0
0000793306,2024,0
0000793306,2025,0
0000797542,2016,0
0000797542,2021,0
0000797542,2024,0
0000797542,2025,0
0000797564,2015,0
0000797564,2016,0
0000797564,2017,0
0000797564,2018,0
0000797564,2019,0
0000797564,2022,0
0000797564,2023,0
0000797721,2017,0
0000800457,2016,0
0000801337,2016,0
0000803578,2022,0
0000803578,2023,0
0000803578,2024,0
0000803578,2025,0
0000804328,2020,0
0000808450,2017,1
0000811222,2013,1
0000811222,2014,1
0000811222,2015,1
0000811222,2016,1
0000811222,2021,1
0000811222,2022,1
0000811222,2023,1
0000811222,2024,1
0000811222,2025,1
0000812796,2021,0
0000812796,2022,0
0000812796,2023,0
0000812796,2024,0
0000812796,2025,0
0000814586,2021,1
0000814926,2020,0
0000814926,2021,0
0000814926,2022,0
0000814926,2023,0
0000814926,2024,0
0000814926,2025,0
0000820318,2017,0
0000820771,2016,0
0000820771,2018,0
0000820771,2019,0
0000820771,2020,0
0000820771,2021,0
0000820771,2022,0
0000820771,2023,0
0000820771,2024,0
0000820771,2025,0
0000822416,2016,0
0000822746,2014,0
0000822746,2016,0
0000822746,2017,0
0000822746,2020,0
0000822746,2021,0
0000822746,2022,0
0000826253,2023,1
0000826253,2024,1
0000827187,2026,0
0000827876,2021,0
0000827876,2022,0
0000827876,2023,0
0000828146,2015,0
0000828146,2016,0
0000829323,2019,0
0000831001,2018,0
0000831001,2020,0
0000831001,2025,0
0000831259,2016,0
0000832428,2016,0
0000832489,2016,0
0000832489,2017,0
0000832489,2018,0
0000832489,2019,0
0000832489,2020,0
0000832489,2021,0
0000832489,2022,0
0000832489,2023,0
0000832489,2024,0
0000832489,2025,0
0000834365,2024,0
0000834365,2025,0
0000836690,2016,0
0000836690,2017,0
0000836690,2018,0
0000836690,2019,0
0000837852,2016,1
0000837852,2017,1
0000837852,2018,1
0000837852,2019,1
0000837852,2020,1
0000837852,2021,1
0000837852,2022,1
0000837852,2023,1
0000845819,2016,0
0000845819,2017,0
0000845819,2024,0
0000845819,2025,0
0000845877,2016,0
0000845877,2017,0
0000845877,2018,0
0000845877,2020,0
0000849401,2017,0
0000849401,2024,0
0000849401,2025,0
0000856984,2021,0
0000856984,2022,0
0000856984,2024,0
0000856984,2025,0
0000857005,2016,0
0000857005,2017,0
0000859747,2016,0
0000859747,2017,0
0000860546,2016,0
0000860731,2016,0
0000861459,2016,0
0000862022,2018,0
0000862022,2019,0
0000862022,2020,0
0000862022,2021,0
0000862022,2022,0
0000862022,2023,0
0000862022,2024,0
0000862022,2025,0
0000862668,2016,0
0000862668,2017,0
0000862668,2018,0
0000862668,2019,0
0000862668,2020,0
0000862668,2021,0
0000862668,2022,0
0000862668,2023,0
0000862668,2024,0
0000862668,2025,0
0000862861,2017,0
0000862861,2019,0
